PH1102402044,0.15%,"2,627"
PH1102402045,0.21%,"3,674"
PH1102402047,0.09%,"1,655"
PH1102402181,0.43%,"7,601"
PH1102402182,0.45%,"7,968"
PH1102402048,0.34%,"6,104"
PH1102402183,0.12%,"2,100"
PH1102402049,1.47%,"26,150"
PH1102402184,0.28%,"5,003"
PH1102402050,1.40%,"24,879"
PH1102402185,0.30%,"5,258"
PH1102402051,0.08%,"1,414"
PH1102402052,0.37%,"6,549"
PH1102402053,0.26%,"4,604"
PH1102402054,0.07%,"1,159"
PH1102402055,0.24%,"4,334"
PH1102402186,0.74%,"13,205"
PH1102402187,0.73%,"12,952"
PH1102402057,1.33%,"23,717"
PH1102402058,0.66%,"11,694"
PH1102402059,0.78%,"13,849"
PH1102402060,0.09%,"1,568"
PH1102402061,3.31%,"58,874"
PH1102402062,0.09%,"1,534"
PH1102402188,0.18%,"3,122"
PH1102402063,0.27%,"4,802"
PH1102402064,0.40%,"7,078"
PH1102402065,0.77%,"13,693"
PH1102402066,0.46%,"8,160"
PH1102402067,0.35%,"6,176"
PH1102402068,0.20%,"3,493"
PH1102402069,0.86%,"15,296"
PH1102402070,0.32%,"5,605"
PH1102402071,0.22%,"3,970"
PH1102402072,0.45%,"7,961"
PH1102402073,1.09%,"19,433"
PH1102402074,1.82%,"32,396"
PH1102402078,0.12%,"2,205"
PH1102402075,2.33%,"41,407"
PH1102402077,1.06%,"18,919"
PH1102402189,0.17%,"3,007"
PH1102402079,1.05%,"18,677"
PH1102402080,0.23%,"4,115"
PH1102402081,0.39%,"6,888"
PH1102402082,0.17%,"2,993"
PH1102402083,0.13%,"2,278"
PH1102402086,0.88%,"15,616"
PH1102402087,2.30%,"40,860"
PH1102402088,0.11%,"1,886"
PH1102402089,0.24%,"4,257"
PH1102402090,0.13%,"2,340"
PH1102402091,0.13%,"2,272"
PH1102402092,0.17%,"3,049"
PH1102402190,0.33%,"5,943"
PH1102402097,0.34%,"6,010"
PH1102402098,0.14%,"2,498"
PH1102402099,0.38%,"6,667"
PH1102402191,0.12%,"2,190"
PH1102402192,0.69%,"12,190"
PH1102402100,0.39%,"6,986"
PH1102402193,1.18%,"20,934"
PH1102402101,3.09%,"54,862"
PH1102402102,0.14%,"2,481"
PH1102402104,0.47%,"8,306"
PH1102402105,0.34%,"5,993"
PH1102402106,0.30%,"5,341"
PH1102402107,0.30%,"5,245"
PH1102402108,0.09%,"1,641"
PH1102402110,0.75%,"13,415"
PH1102402112,0.28%,"4,955"
PH1102402113,0.10%,"1,695"
PH1102402114,0.08%,"1,338"
PH1102402115,0.21%,"3,750"
PH1102402116,3.47%,"61,698"
PH1102402117,0.48%,"8,604"
PH1102402118,0.39%,"6,916"
PH1102402119,0.35%,"6,259"
PH1102402120,0.51%,"9,009"
PH1102402121,0.40%,"7,065"
PH1102402122,0.26%,"4,632"
PH1102402123,0.14%,"2,432"
PH1102402124,2.79%,"49,636"
PH1102402125,1.40%,"24,795"
PH1102402126,0.70%,"12,393"
PH1102402127,1.23%,"21,927"
PH1102402128,0.18%,"3,260"
PH1102402194,0.14%,"2,417"
PH1102402129,0.39%,"7,003"
PH1102402198,0.63%,"11,219"
PH1102402195,0.25%,"4,500"
PH1102402131,0.39%,"6,905"
PH1102402196,0.45%,"8,064"
PH1102402133,0.21%,"3,798"
